,0
high,4.900034495236282
low,4.863758148007387
EMA5,4.440491091502759
open,4.303347930444505
SMA5,4.22443957881894
EMA10,3.957629660354515
close_time,3.8824631225016852
SMA10,3.803868343014478
EMA20,3.5865607353720073
bb_upper,3.453436533560526
bb_middle,3.4480097829696614
SMA20,3.4479956148916306
bb_lower,3.429985974794595
volatility,0.6444599775380171
cum_volume_12h,0.6334100976323391
cum_volume_6h,0.5308880144144865
cum_volume_3h,0.4570775956648063
number_of_trades,0.4397348252520139
volume,0.4061293808688369
taker_buy_base_asset_volume,0.40294033579766
MACD,0.3776099076314434
MACD_signal,0.3632259761606127
quote_asset_volume,0.25205861454785694
taker_buy_quote_asset_volume,0.24329383166515228
MACD_diff,0.2392150136946274
momentum_24h,0.19945673912896922
price_range,0.14440842423360944
momentum_12h,0.12457833850867317
RSI,0.10794206637063564
momentum_6h,0.08113970107365276
momentum_3h,0.06422120719793245
momentum_1h,0.04651957191754441
volume_change,0.003451706819260991
ignore,0.0
